order_id,customer_id,product,category,region,quantity,price,order_date
1073,C013,Keyboard,Accessories,North,3,1500,2025-03-14
1074,C014,Monitor,Electronics,South,4,12000,2025-03-15
1075,C015,Printer,Electronics,East,5,9000,2025-03-16
1076,C016,Laptop,Electronics,West,1,50000,2025-03-17
1077,C017,Mouse,Accessories,North,2,800,2025-03-18
1078,C018,Keyboard,Accessories,South,3,1500,2025-03-19
1079,C019,Monitor,Electronics,East,4,12000,2025-03-20
1080,C020,Printer,Electronics,West,5,9000,2025-03-21
1081,C001,Laptop,Electronics,North,1,50000,2025-03-22
1082,C002,Mouse,Accessories,South,2,800,2025-03-23
1083,C003,Keyboard,Accessories,East,3,1500,2025-03-24
1084,C004,Monitor,Electronics,West,4,12000,2025-03-25
1085,C005,Printer,Electronics,North,5,9000,2025-03-26
1086,C006,Laptop,Electronics,South,1,50000,2025-03-27
1087,C007,Mouse,Accessories,East,2,800,2025-03-28
1088,C008,Keyboard,Accessories,West,3,1500,2025-03-29
1089,C009,Monitor,Electronics,North,4,12000,2025-03-30
1090,C010,Printer,Electronics,South,5,9000,2025-03-31
1091,C011,Laptop,Electronics,East,1,50000,2025-04-01
1092,C012,Mouse,Accessories,West,2,800,2025-04-02
1093,C013,Keyboard,Accessories,North,3,1500,2025-04-03
1094,C014,Monitor,Electronics,South,4,12000,2025-04-04
1095,C015,Printer,Electronics,East,5,9000,2025-04-05
1096,C016,Laptop,Electronics,West,1,50000,2025-04-06
1097,C017,Mouse,Accessories,North,2,800,2025-04-07
1098,C018,Keyboard,Accessories,South,3,1500,2025-04-08
1099,C019,Monitor,Electronics,East,4,12000,2025-04-09
1100,C020,Printer,Electronics,West,5,9000,2025-04-10
1101,C001,Laptop,Electronics,North,1,50000,2025-04-11
1102,C002,Mouse,Accessories,South,2,800,2025-04-12
1103,C003,Keyboard,Accessories,East,3,1500,2025-04-13
1104,C004,Monitor,Electronics,West,4,12000,2025-04-14
1105,C005,Printer,Electronics,North,5,9000,2025-04-15
1106,C006,Laptop,Electronics,South,1,50000,2025-04-16
1107,C007,Mouse,Accessories,East,2,800,2025-04-17
1108,C008,Keyboard,Accessories,West,3,1500,2025-04-18
1109,C009,Monitor,Electronics,North,4,12000,2025-04-19
1110,C010,Printer,Electronics,South,5,9000,2025-04-20
1111,C011,Laptop,Electronics,East,1,50000,2025-04-21
1112,C012,Mouse,Accessories,West,2,800,2025-04-22
1113,C013,Keyboard,Accessories,North,3,1500,2025-04-23
1114,C014,Monitor,Electronics,South,4,12000,2025-04-24
1115,C015,Printer,Electronics,East,5,9000,2025-04-25
1116,C016,Laptop,Electronics,West,1,50000,2025-04-26
1117,C017,Mouse,Accessories,North,2,800,2025-04-27
1118,C018,Keyboard,Accessories,South,3,1500,2025-04-28
1119,C019,Monitor,Electronics,East,4,12000,2025-04-29
1120,C020,Printer,Electronics,West,5,9000,2025-04-30
1121,C001,Laptop,Electronics,North,1,50000,2025-05-01
1122,C002,Mouse,Accessories,South,2,800,2025-05-02
1123,C003,Keyboard,Accessories,East,3,1500,2025-05-03
1124,C004,Monitor,Electronics,West,4,12000,2025-05-04
1125,C005,Printer,Electronics,North,5,9000,2025-05-05
1126,C006,Laptop,Electronics,South,1,50000,2025-05-06
1127,C007,Mouse,Accessories,East,2,800,2025-05-07
1128,C008,Keyboard,Accessories,West,3,1500,2025-05-08
1129,C009,Monitor,Electronics,North,4,12000,2025-05-09
1130,C010,Printer,Electronics,South,5,9000,2025-05-10
1131,C011,Laptop,Electronics,East,1,50000,2025-05-11
1132,C012,Mouse,Accessories,West,2,800,2025-05-12
1133,C013,Keyboard,Accessories,North,3,1500,2025-05-13
1134,C014,Monitor,Electronics,South,4,12000,2025-05-14
1135,C015,Printer,Electronics,East,5,9000,2025-05-15
1136,C016,Laptop,Electronics,West,1,50000,2025-05-16
1137,C017,Mouse,Accessories,North,2,800,2025-05-17
1138,C018,Keyboard,Accessories,South,3,1500,2025-05-18
1139,C019,Monitor,Electronics,East,4,12000,2025-05-19
1140,C020,Printer,Electronics,West,5,9000,2025-05-20
1141,C001,Laptop,Electronics,North,1,50000,2025-05-21
1142,C002,Mouse,Accessories,South,2,800,2025-05-22
1143,C003,Keyboard,Accessories,East,3,1500,2025-05-23
1144,C004,Monitor,Electronics,West,4,12000,2025-05-24
1145,C005,Printer,Electronics,North,5,9000,2025-05-25
1146,C006,Laptop,Electronics,South,1,50000,2025-05-26
1147,C007,Mouse,Accessories,East,2,800,2025-05-27
1148,C008,Keyboard,Accessories,West,3,1500,2025-05-28
1149,C009,Monitor,Electronics,North,4,12000,2025-05-29
1150,C010,Printer,Electronics,South,5,9000,2025-05-30
